,tokens,critical,surprisals,island
0,書,0,4.402589,non-island
0,い,0,3.098066,non-island
0,た,0,1.0655313,non-island
0,エ,0,8.526271,non-island
0,ッ,0,3.6131675,non-island
0,セ,0,0.027427604,non-island
0,ー,0,2.039104,non-island
0,が,0,7.1673493,non-island
0,権,0,3.2282174,non-island
0,威,0,0.42659053033266700,non-island
0,あ,0,1.8053523,non-island
0,る,0,0.00207002,non-island
0,文,0,2.123164725,non-island
0,学,0,1.05690657,non-island
0,賞,0,0.8573768205,non-island
0,を,0,0.873016,non-island
0,受,0,0.23093211000000000,non-island
0,賞,0,0.0025078863960000000,non-island
0,し,0,0.5576191,non-island
0,た,0,0.324231,non-island
0,の,0,3.558787,non-island
0,で,0,0.9495722,non-island
0,女,1,10.419369,non-island
0,性,1,0.48706457781465,non-island
0,議,1,3.0601426000000000,non-island
0,員,1,0.0216590979926,non-island
0,は,1,1.9943653,non-island
0,感,1,2.03270055,non-island
0,謝,1,1.1299505996666700,non-island
0,を,1,3.051793,non-island
0,述,1,0.63558221085,non-island
0,べ,1,0.00018070322850000000,non-island
0,た,1,0.5187903,non-island
0,。,1,0.6383059,non-island
1,発,0,4.1016865000000000,non-island
1,表,0,1.33392588,non-island
1,し,0,3.5440624,non-island
1,た,0,0.5866336,non-island
1,論,0,1.5682639113000000,non-island
1,文,0,0.0018893258246000000,non-island
1,が,0,5.093925,non-island
1,世,0,3.225435715,non-island
1,界,0,0.0075362941515,non-island
1,中,0,2.0881994,non-island
1,の,0,3.9017348,non-island
1,学,0,0.5273241052200000,non-island
1,者,0,1.5217656,non-island
1,か,0,0.00050350063,non-island
1,ら,0,1.5051382,non-island
1,注,0,0.00050246337,non-island
1,目,0,0.66667875,non-island
1,さ,0,0.0013694725,non-island
1,れ,0,2.393362,non-island
1,た,0,3.7812352,non-island
1,の,0,0.6361564,non-island
1,で,0,8.633864,non-island
1,教,1,0.31393558,non-island
1,授,1,0.9942566187633330,non-island
1,は,1,5.374625,non-island
1,多,1,1.10871978,non-island
1,忙,1,0.526438949286,non-island
1,を,1,0.027138796,non-island
1,極,1,4.2433903E-06,non-island
1,め,1,8.67442556E-05,non-island
1,た,1,1.685778,non-island
1,。,1,0.4577839,non-island
2,購,0,4.4511043,non-island
2,入,0,0.5906286993700000,non-island
2,し,0,2.5672534,non-island
2,た,0,0.5071753,non-island
2,絵,0,2.8049315,non-island
2,画,0,1.346953527515,non-island
2,が,0,3.8507607,non-island
2,ピ,0,4.35108125,non-island
2,カ,0,0.81572795,non-island
2,ソ,0,5.0508065,non-island
2,の,0,0.56991786,non-island
2,作,0,2.589475,non-island
2,品,0,0.0023155570269333300,non-island
2,だ,0,0.7250893,non-island
2,っ,0,0.33000252,non-island
2,た,0,0.0025078664,non-island
2,の,0,2.3270688,non-island
2,で,0,0.1753313,non-island
2,美,1,2.612657649,non-island
2,術,1,0.013818295,non-island
2,館,1,0.07399777362544,non-island
2,長,1,3.8628182013448300,non-island
2,は,1,5.9846797,non-island
2,展,1,3.3930333133333300,non-island
2,示,1,0.12418652772633300,non-island
2,会,1,0.7895587075,non-island
2,を,1,1.2677753,non-island
2,計,1,1.517704922,non-island
2,画,1,0.00136628585,non-island
2,し,1,0.09837873,non-island
2,た,1,0.7268055,non-island
2,。,1,0.5118638,non-island
3,演,0,4.4478667,non-island
3,じ,0,3.306871132,non-island
3,た,0,1.8383996,non-island
3,芝,0,2.4265738,non-island
3,居,0,0.07850085916666670,non-island
3,が,0,3.4299707,non-island
3,連,0,4.6420828500000000,non-island
3,日,0,1.9150105005107000,non-island
3,チ,0,6.9272337,non-island
3,ケ,0,0.6438525,non-island
3,ット,0,0.0010592701,non-island
3,が,0,2.488587,non-island
3,完,0,1.2769167549,non-island
3,売,0,0.0035979757,non-island
3,し,0,1.1126109,non-island
3,た,0,1.1523929,non-island
3,の,0,2.7059417,non-island
3,で,0,1.0185333,non-island
3,役,1,3.4958652,non-island
3,者,1,0.19941549,non-island
3,は,1,3.1811726,non-island
3,海,1,4.547071,non-island
3,外,1,0.12228664083375,non-island
3,に,1,1.9537705,non-island
3,招,1,1.40849727,non-island
3,待,1,0.193368835,non-island
3,さ,1,0.37381947,non-island
3,れ,1,0.0012324408,non-island
3,た,1,0.77321047,non-island
3,。,1,0.822705,non-island
4,開,0,6.2354904500000000,non-island
4,発,0,0.6561443066666670,non-island
4,し,0,5.000985,non-island
4,た,0,0.5404181,non-island
4,新,0,3.2547735700000000,non-island
4,製,0,1.9947206998785000,non-island
4,品,0,0.0005375168370000000,non-island
4,が,0,4.0585384,non-island
4,今,0,2.48084597,non-island
